Iteración,Tiempo (segundos)
1,0.001253
2,0.001400
3,0.001451
4,0.001919
5,0.001122
6,0.001664
7,0.001126
8,0.001626
9,0.002180
10,0.001937
11,0.001209
12,0.001342
13,0.001173
14,0.001168
15,0.001162
16,0.001370
17,0.001192
18,0.001380
19,0.001318
20,0.001144
