Iteración,Tiempo (segundos)
1,0.000098
2,0.000092
3,0.000093
4,0.000073
5,0.000139
6,0.000093
7,0.000139
8,0.000080
9,0.000078
10,0.000099
11,0.000074
12,0.000068
13,0.000075
14,0.000067
15,0.000084
16,0.000109
17,0.000067
18,0.000067
19,0.000072
20,0.000076
