Iteración,Tiempo (segundos)
1,0.000457
2,0.000417
3,0.000331
4,0.000474
5,0.000510
6,0.000421
7,0.000546
8,0.000421
9,0.000471
10,0.000449
11,0.000313
12,0.000591
13,0.000484
14,0.000346
15,0.000381
16,0.000652
17,0.000479
18,0.000375
19,0.000376
20,0.000319
