Iteración,Tiempo (segundos)
1,0.000208
2,0.000324
3,0.000316
4,0.000143
5,0.000376
6,0.000178
7,0.000153
8,0.000433
9,0.000191
10,0.000206
11,0.000254
12,0.000198
13,0.000144
14,0.000179
15,0.000177
16,0.000322
17,0.000147
18,0.000180
19,0.000314
20,0.000204
