Iteración,Tiempo (segundos)
1,0.000090
2,0.000108
3,0.000059
4,0.000117
5,0.000079
6,0.000086
7,0.000075
8,0.000060
9,0.000075
10,0.000072
11,0.000076
12,0.000072
13,0.000064
14,0.000061
15,0.000102
16,0.000130
17,0.000086
18,0.000060
19,0.000084
20,0.000060
