Iteración,Tiempo (segundos)
1,0.000150
2,0.000156
3,0.000151
4,0.000126
5,0.000126
6,0.000128
7,0.000216
8,0.000237
9,0.000116
10,0.000326
11,0.000180
12,0.000167
13,0.000178
14,0.000145
15,0.000145
16,0.000162
17,0.000244
18,0.000144
19,0.000157
20,0.000143
