Iteración,Tiempo (segundos)
1,0.000070
2,0.000066
3,0.000053
4,0.000055
5,0.000056
6,0.000068
7,0.000091
8,0.000071
9,0.000053
10,0.000073
11,0.000112
12,0.000064
13,0.000051
14,0.000064
15,0.000072
16,0.000086
17,0.000064
18,0.000052
19,0.000091
20,0.000057
