Iteración,Tiempo (segundos)
1,0.000067
2,0.000088
3,0.000114
4,0.000133
5,0.000087
6,0.000101
7,0.000083
8,0.000106
9,0.000069
10,0.000068
11,0.000065
12,0.000088
13,0.000070
14,0.000059
15,0.000077
16,0.000131
17,0.000062
18,0.000076
19,0.000062
20,0.000076
